,Oil,Gas,Coal,Nuclear,Hydro
0,842.9,588.7,498.0,190.2,62.2
1,97.0,85.2,26.5,20.3,90.2
2,85.6,62.7,6.8,2.2,6.0
3,22.3,38.8,1.1,1.8,9.2
4,104.3,18.3,11.7,2.9,88.5
5,15.4,3.0,4.1,0.0,5.6
6,8.8,7.8,3.1,0.0,9.3
7,9.9,0.4,0.0,0.0,2.1
8,8.5,3.1,0.5,0.0,4.5
9,27.4,26.8,0.0,0.0,19.5
10,13.0,8.4,2.3,0.0,8.3
11,2.8,6.9,0.0,0.0,0.5
12,9.3,14.5,0.0,0.0,0.0
13,38.5,15.6,4.6,10.7,0.1
14,4.4,2.2,6.3,3.5,0.9
15,9.7,7.4,15.8,6.1,0.7
16,8.2,4.0,4.0,0.0,0.0
17,9.9,3.2,3.7,5.4,2.9
18,87.5,38.4,10.1,92.9,13.1
19,113.9,70.2,71.0,30.5,4.2
20,20.2,3.0,7.9,0.0,1.6
21,7.3,9.1,2.5,3.5,0.1
22,1.0,0.0,0.1,0.0,2.8
23,8.0,4.3,1.3,0.0,0.2
24,75.1,64.5,13.4,0.0,10.5
25,12.0,17.7,33.0,0.0,1.7
26,2.9,2.5,0.2,2.5,0.3
27,49.4,35.0,7.9,1.0,0.0
28,9.7,3.7,0.3,0.0,28.8
29,25.5,12.3,53.9,0.0,0.7
30,12.9,3.9,3.6,0.0,2.0
31,9.9,12.2,6.2,2.7,3.6
32,124.9,350.7,82.9,37.0,39.8
33,3.9,5.1,3.6,3.2,1.1
34,72.9,31.1,10.6,12.0,6.1
35,13.7,1.0,1.6,11.9,14.9
36,12.3,2.7,0.1,6.2,8.1
37,28.8,28.9,27.2,0.0,8.1
38,5.2,17.8,0.0,0.0,0.0
39,14.1,42.3,35.0,18.6,2.7
40,74.4,77.9,29.7,15.7,1.2
41,4.9,43.9,1.4,0.0,1.4
42,83.6,118.5,1.4,0.0,1.3
43,19.2,12.1,0.0,0.0,0.0
44,8.2,19.0,0.0,0.0,0.0
45,121.8,69.7,0.0,0.0,0.0
46,21.8,53.2,0.0,0.0,0.0
47,14.9,24.0,0.7,0.0,0.1
48,33.7,38.3,1.1,0.0,3.1
49,24.3,0.0,99.4,2.7,0.2
50,42.7,23.1,50.8,0.0,2.6
51,4.5,17.8,0.4,0.0,0.3
52,404.6,79.8,1537.4,15.9,139.3
53,14.0,2.3,7.6,0.0,0.0
54,148.5,46.7,245.8,3.8,24.0
55,62.0,33.0,30.5,0.0,2.7
56,197.6,78.7,108.8,62.1,16.7
57,21.4,28.3,4.0,0.0,2.0
58,6.8,3.6,1.7,0.0,5.5
59,20.6,34.1,4.3,0.6,6.2
60,12.1,3.0,6.8,0.0,2.2
61,52.1,8.7,0.0,0.0,0.0
62,104.3,30.4,68.6,33.4,0.7
63,46.6,10.2,38.7,9.4,0.8
64,44.2,35.3,14.1,0.0,1.5
